id,author,geometry,pressure [MPa],mass_flux [kg/m2-s],x_e_out [-],D_e [mm],D_h [mm],length [mm],chf_exp [MW/m2]
6872,,tube,10.34,3811.0,-0.0483,10.3,10.3,762.0,3.5
6873,Beus,annulus,15.51,2748.0,0.0707,5.6,15.2,2134.0,2.5
6874,Janssen,annulus,6.89,1519.0,0.1077,,42.3,1778.0,3.7
6875,Thompson,tube,4.1,,0.0518,5.6,5.6,,7.9
6876,Janssen,annulus,6.89,,0.0288,8.5,24.6,1778.0,2.6
6877,Weatherhead,tube,13.79,1354.0,0.0145,7.7,7.7,457.0,2.3
6878,Thompson,tube,13.79,3255.0,,4.7,4.7,318.0,3.4
6879,Thompson,tube,13.79,,0.0538,,7.8,,3.8
6880,Beus,annulus,15.51,,,5.6,15.2,2134.0,2.6
6881,Thompson,tube,13.79,2373.0,0.0598,7.8,7.8,591.0,2.1
6882,Thompson,tube,6.89,6998.0,,10.3,10.3,794.0,7.3
6883,Thompson,tube,5.07,1383.0,,5.6,,864.0,4.1
6884,Thompson,tube,13.79,2333.0,0.0279,7.8,7.8,591.0,2.2
6885,,annulus,6.89,2265.0,0.1205,12.7,42.3,,2.1
6886,Thompson,tube,6.89,5438.0,0.0129,12.8,12.8,1930.0,4.5
6887,Thompson,,13.79,2428.0,,1.9,1.9,152.0,3.2
6888,Inasaka,tube,,5500.0,,3.0,3.0,,14.7
6889,Weatherhead,tube,,2061.0,0.0334,7.7,7.7,457.0,2.3
6890,Williams,tube,15.17,1410.0,,9.5,9.5,1836.0,1.9
6891,Beus,annulus,15.51,3673.0,-0.0071,5.6,15.2,2134.0,2.1
6892,Thompson,tube,18.27,671.0,,3.0,3.0,,2.1
6893,Thompson,tube,13.79,2590.0,,7.7,,457.0,2.7
6894,Thompson,tube,6.89,,0.0027,23.5,23.5,610.0,3.0
6895,Thompson,tube,13.79,4096.0,,4.6,,295.0,4.3
6896,Weatherhead,tube,13.79,2021.0,,,7.7,457.0,2.5
6897,Williams,tube,15.17,,0.0535,9.5,9.5,,2.1
6898,Thompson,,13.79,1587.0,-0.0298,,7.8,591.0,9.0
6899,Thompson,tube,12.07,,,1.9,,,4.5
6900,Thompson,tube,12.07,4042.0,-0.0531,1.9,1.9,152.0,4.7
6901,,annulus,5.51,1519.0,0.0036,,42.3,1778.0,6.7
6902,Weatherhead,tube,13.79,1326.0,-0.0446,11.1,11.1,457.0,2.4
6903,Kossolapov,plate,0.31,310.0,,15.0,,10.0,3.6
6904,,,13.79,3024.0,-0.0102,,4.7,305.0,2.1
6905,,,6.79,4096.0,,10.8,10.8,,3.1
6906,Thompson,,,956.0,,,7.7,,1.8
6907,,tube,0.1,1926.0,0.1293,10.0,,1650.0,3.2
6908,Thompson,tube,13.79,1410.0,0.033,,7.8,591.0,2.9
6909,,annulus,6.89,1343.0,0.0032,,22.3,2743.0,2.2
6910,,,6.89,3811.0,0.1144,23.6,23.6,1972.0,3.7
6911,Thompson,tube,,5588.0,0.0393,,4.7,305.0,2.8
6912,Janssen,annulus,6.89,4218.0,,12.7,38.1,914.0,4.6
6913,Thompson,tube,7.03,4056.0,,10.8,10.8,864.0,1.6
6914,Richenderfer,,0.2,1500.0,-0.1248,,120.0,10.0,6.7
6915,Weatherhead,,13.79,686.0,0.0648,11.1,11.1,457.0,2.4
6916,Thompson,tube,3.86,4136.0,,5.6,,216.0,3.2
6917,Thompson,tube,10.34,7893.0,,10.3,10.3,762.0,4.6
6918,Thompson,,10.34,,-0.0698,10.3,10.3,762.0,10.6
6919,Beus,annulus,15.51,,0.1232,5.6,15.2,2134.0,2.1
6920,Thompson,tube,6.86,,0.0043,10.8,10.8,432.0,4.6
6921,Thompson,tube,6.93,,0.1038,10.8,10.8,1727.0,4.8
6922,Thompson,tube,13.79,7391.0,0.0001,4.7,4.7,318.0,3.4
6923,,,7.0,4069.0,0.0113,10.8,10.8,864.0,3.6
6924,Thompson,tube,6.93,4065.0,,,10.8,1727.0,2.8
6925,Thompson,tube,6.89,6008.0,-0.0375,10.3,10.3,762.0,6.5
6926,Beus,annulus,13.79,,-0.0719,5.6,15.2,2134.0,3.9
6927,Thompson,tube,6.89,4055.0,,5.6,5.6,432.0,2.4
6928,Peskov,tube,10.0,1356.0,,10.0,10.0,,4.2
6929,,annulus,,2292.0,0.0196,12.7,42.3,1778.0,4.3
6930,Thompson,tube,,1290.0,,7.7,7.7,457.0,2.5
6931,Thompson,tube,17.24,2984.0,,1.9,1.9,696.0,2.3
6932,Thompson,tube,,7893.0,,10.3,10.3,762.0,7.7
6933,Beus,annulus,11.03,2741.0,,,15.2,2134.0,2.0
6934,Thompson,tube,6.89,4069.0,0.0534,5.6,,432.0,6.7
6935,,tube,14.0,3056.0,,10.0,,893.0,2.2
6936,Thompson,tube,13.79,4476.0,-0.0195,4.7,4.7,318.0,3.4
6937,Thompson,tube,3.86,4123.0,,,5.6,432.0,4.5
6938,Thompson,tube,10.34,6049.0,-0.0684,10.3,10.3,,6.6
6939,Thompson,tube,18.96,4136.0,,1.9,1.9,,5.3
6940,Janssen,annulus,6.92,1533.0,0.1482,,22.3,1829.0,2.3
6941,Thompson,tube,13.79,3811.0,-0.0703,1.9,1.9,,5.5
6942,Thompson,tube,,2034.0,,1.9,1.9,152.0,4.6
6943,Kossolapov,plate,0.1,,-0.0434,,120.0,10.0,5.2
6944,Thompson,tube,6.79,,,10.8,10.8,864.0,4.0
6945,Janssen,annulus,,,0.1225,8.5,22.3,2591.0,3.2
6946,,annulus,6.85,5588.0,0.0381,6.4,15.9,914.0,2.2
6947,Thompson,,13.79,3445.0,0.0887,4.6,4.6,,2.3
6948,Thompson,,6.89,6618.0,,10.3,10.3,794.0,5.0
6949,,tube,13.79,5696.0,-0.0203,,4.7,318.0,5.0
6950,Thompson,tube,10.34,4828.0,-0.12,10.3,,762.0,4.3
6951,Thompson,tube,11.0,,,11.5,11.5,,2.0
6952,Thompson,tube,18.96,2862.0,-0.1918,,1.9,152.0,4.5
6953,Thompson,tube,6.89,7880.0,-0.048,10.3,10.3,762.0,12.6
6954,Thompson,tube,13.79,2143.0,,7.8,,591.0,2.3
6955,Thompson,,18.96,2726.0,,1.9,1.9,152.0,5.5
6956,Thompson,,12.07,3648.0,-0.0703,,,,2.2
6957,Thompson,tube,11.0,1356.0,0.1536,,11.5,914.0,2.3
6958,Thompson,tube,11.03,,,11.5,11.5,1143.0,3.3
6959,Thompson,tube,3.83,3811.0,0.1454,10.8,10.8,864.0,3.7
6960,Thompson,tube,6.89,5479.0,-0.025,23.6,23.6,1972.0,4.9
6961,Thompson,tube,13.79,1695.0,-0.0833,4.7,,318.0,3.2
6962,Weatherhead,,13.79,673.0,0.0101,11.1,11.1,457.0,2.9
6963,Thompson,tube,3.83,2889.0,0.0861,4.6,4.6,229.0,6.7
6964,Thompson,,13.79,,0.1503,,,318.0,1.8
6965,,tube,6.89,4069.0,-0.0198,10.8,10.8,864.0,6.7
6966,Thompson,tube,15.51,3730.0,0.001,1.9,1.9,,2.5
6967,Thompson,tube,6.89,,,10.3,10.3,762.0,4.8
6968,Thompson,,13.79,,,4.7,4.7,318.0,3.6
6969,Thompson,,13.79,5588.0,-0.1209,4.7,4.7,318.0,3.3
6970,Weatherhead,tube,,2699.0,-0.0991,7.7,7.7,457.0,3.1
6971,Beus,annulus,15.51,,,5.6,,2134.0,2.4
6972,,plate,1.01,,-0.0424,15.0,120.0,10.0,5.2
6973,,plate,0.51,1519.0,-0.0929,15.0,,10.0,9.2
6974,,tube,13.79,1339.0,-0.1342,7.7,7.7,457.0,2.2
6975,Thompson,tube,,4964.0,,,4.7,318.0,4.0
6976,Janssen,annulus,9.68,5601.0,-0.07,,15.9,914.0,3.0
6977,Thompson,tube,16.0,932.0,-0.0868,10.0,10.0,1300.0,2.3
6978,Thompson,tube,,1316.0,,3.6,3.6,76.0,3.7
6979,Thompson,,6.89,4069.0,,10.3,10.3,762.0,5.0
6980,Thompson,,6.89,5384.0,0.1214,23.6,,610.0,2.4
6981,Thompson,tube,13.79,,0.0129,7.8,7.8,591.0,2.0
6982,,,,1383.0,,,4.7,,4.3
6983,Thompson,tube,6.89,4056.0,0.0374,,10.8,1727.0,4.2
6984,Weatherhead,tube,13.79,1383.0,0.0115,7.7,7.7,457.0,1.0
6985,Beus,annulus,15.51,3673.0,0.0409,5.6,15.2,2134.0,1.8
6986,Thompson,tube,6.86,2034.0,,10.8,10.8,794.0,4.6
6987,Thompson,tube,10.34,7893.0,-0.073,10.3,,762.0,4.0
6988,Peskov,tube,,,,10.0,10.0,1000.0,3.2
6989,Williams,tube,15.17,2661.0,0.1005,9.5,9.5,1836.0,2.2
6990,Thompson,tube,6.79,,0.0902,,10.8,432.0,3.6
6991,Thompson,tube,,5940.0,-0.0739,,10.3,762.0,6.5
6992,,tube,13.79,932.0,-0.1441,4.7,4.7,318.0,3.0
6993,,,13.79,1085.0,,4.7,4.7,318.0,2.2
6994,Thompson,,3.45,4042.0,0.007,3.6,3.6,76.0,4.0
6995,Thompson,tube,,1763.0,,7.7,7.7,457.0,2.5
6996,Thompson,tube,,3770.0,-0.0573,,1.9,152.0,3.6
6997,Thompson,tube,3.45,1492.0,,,3.6,76.0,4.9
6998,,tube,6.89,6795.0,0.072,10.3,10.3,794.0,2.7
6999,Thompson,tube,13.79,3119.0,0.0406,1.9,1.9,152.0,2.5
7000,Williams,tube,,,,9.5,,1836.0,1.6
7001,Weatherhead,tube,13.79,,-0.0158,,11.1,457.0,3.5
7002,Williams,,,4056.0,0.14,,9.5,1836.0,1.8
7003,,,13.79,,,7.7,7.7,457.0,2.9
7004,Thompson,tube,6.89,,,10.8,10.8,864.0,2.9
7005,Janssen,,6.87,1519.0,0.1481,8.5,22.3,2743.0,1.0
7006,Thompson,tube,3.76,1288.0,,4.6,4.6,,7.3
7007,,,10.34,5967.0,-0.0576,10.3,10.3,762.0,5.8
7008,Thompson,tube,,1492.0,,,10.8,432.0,2.5
7009,Thompson,tube,4.1,,-0.0138,10.8,10.8,864.0,6.5
7010,Janssen,annulus,6.89,5615.0,0.018,12.7,38.1,914.0,3.7
7011,Thompson,tube,11.03,4055.0,0.1184,11.5,11.5,1143.0,1.8
7012,Janssen,annulus,6.89,1519.0,0.1989,8.5,22.3,2743.0,2.6
7013,Thompson,tube,,3838.0,0.0363,5.6,5.6,216.0,6.2
7014,Thompson,tube,7.0,3770.0,0.0396,10.8,,864.0,2.5
7015,Thompson,tube,12.07,3201.0,,1.9,1.9,152.0,2.3
7016,Weatherhead,tube,13.79,1343.0,,7.7,,457.0,1.9
7017,Thompson,tube,6.89,7500.0,,12.8,12.8,1930.0,4.6
7018,Thompson,tube,3.45,3892.0,-0.0385,10.3,10.3,762.0,9.0
7019,Thompson,tube,,3797.0,,10.8,,432.0,3.9
7020,Thompson,,18.27,2875.0,,3.0,3.0,150.0,5.7
7021,Weatherhead,tube,13.79,1899.0,-0.1756,11.1,11.1,,3.5
7022,Weatherhead,tube,13.79,2021.0,0.0027,7.7,7.7,457.0,2.7
7023,Thompson,,6.83,,0.0003,10.8,10.8,216.0,3.0
7024,Thompson,tube,10.51,2550.0,-0.0415,4.6,4.6,229.0,10.0
7025,Thompson,tube,11.03,2034.0,-0.0254,11.5,11.5,,10.2
7026,Thompson,tube,12.07,1214.0,,10.3,10.3,762.0,2.3
7027,Thompson,tube,13.79,1286.0,0.1714,7.8,,591.0,2.6
7028,Thompson,tube,10.34,5967.0,-0.0653,10.3,10.3,762.0,5.4
7029,Beus,annulus,,2717.0,0.1282,5.6,15.2,2134.0,1.5
7030,Thompson,tube,15.51,3174.0,,1.9,1.9,,1.5
7031,Thompson,tube,13.79,1313.0,0.0406,4.7,4.7,318.0,2.5
7032,Thompson,tube,,1383.0,0.0351,7.8,,591.0,2.6
7033,Thompson,tube,6.89,734.0,,23.6,23.6,610.0,3.7
7034,Thompson,tube,,1286.0,0.0208,7.8,,,2.3
7035,Thompson,tube,10.45,1383.0,0.1508,4.6,4.6,229.0,4.4
7036,Thompson,tube,3.45,5900.0,,10.3,10.3,,4.8
7037,Thompson,tube,13.79,,-0.0415,1.9,1.9,696.0,3.1
7038,Janssen,annulus,,388.0,-0.008,22.2,96.3,,2.5
7039,Thompson,,6.93,4069.0,0.1733,9.3,9.3,1359.0,2.1
7040,Thompson,,13.79,4123.0,,4.7,4.7,318.0,2.0
7041,Thompson,tube,13.79,,0.0625,4.6,4.6,295.0,3.0
7042,Weatherhead,tube,13.79,913.0,0.1693,7.7,7.7,457.0,1.4
7043,Thompson,tube,,4069.0,0.0281,4.6,4.6,229.0,2.8
7044,Thompson,tube,3.45,5737.0,,10.3,10.3,762.0,4.1
7045,Peskov,,16.0,750.0,0.1103,10.0,10.0,,4.1
7046,Thompson,tube,18.96,3784.0,-0.1556,1.9,1.9,152.0,3.4
7047,Thompson,,6.89,5859.0,,,10.3,,4.6
7048,Thompson,tube,13.79,4964.0,0.0043,,4.7,,3.2
7049,Thompson,tube,,6144.0,-0.2001,4.7,,318.0,14.7
7050,Janssen,annulus,,,0.1005,6.4,15.9,914.0,2.2
7051,Janssen,annulus,6.92,1519.0,0.0233,12.7,42.3,1778.0,3.2
7052,,tube,17.24,3730.0,,1.0,1.0,51.0,3.1
7053,,tube,,1356.0,0.1818,7.7,7.7,457.0,1.5
7054,Weatherhead,tube,13.79,,0.1203,,7.7,457.0,4.7
7055,Janssen,annulus,,3038.0,0.0497,4.6,11.3,,2.9
7056,Janssen,annulus,4.13,1519.0,0.0335,12.7,42.3,1778.0,2.6
7057,Thompson,,13.79,1313.0,-0.1209,5.7,5.7,625.0,6.5
7058,Thompson,,11.03,2034.0,,11.5,11.5,914.0,2.2
7059,Thompson,,15.51,3730.0,-0.0102,1.9,1.9,152.0,5.1
7060,,,12.07,4028.0,-0.0443,,1.9,152.0,4.5
7061,,,13.79,1063.0,-0.2001,4.7,4.7,,4.5
7062,Thompson,tube,6.89,,,12.8,12.8,1930.0,3.4
7063,,tube,3.45,,-0.1403,10.3,,,4.8
7064,Thompson,tube,15.51,2455.0,0.0196,1.9,1.9,152.0,4.7
7065,Thompson,,11.03,,0.0799,11.5,11.5,1727.0,6.6
7066,Thompson,tube,6.86,4069.0,0.0477,10.8,10.8,864.0,2.7
7067,Thompson,tube,3.86,4055.0,,10.8,10.8,432.0,3.6
7068,Thompson,tube,13.79,2862.0,-0.0298,,1.9,696.0,2.8
7069,Thompson,tube,0.1,2798.0,0.0328,1.0,1.0,38.0,8.6
7070,Thompson,tube,13.79,,0.0635,7.8,7.8,591.0,2.6
7071,Thompson,tube,13.79,2523.0,0.0292,4.6,4.6,,1.2
7072,Thompson,,7.03,,0.0423,10.8,,864.0,4.0
7073,Thompson,tube,13.79,6144.0,0.0077,4.7,,318.0,3.0
7074,,tube,6.89,3825.0,0.0067,37.5,,1953.0,2.2
7075,Richenderfer,,0.51,1370.0,-0.0204,15.0,120.0,10.0,4.5
7076,Thompson,tube,13.79,7107.0,,4.7,4.7,318.0,3.9
7077,,annulus,6.89,2265.0,0.1933,12.7,42.3,,2.1
7078,Janssen,annulus,9.65,5601.0,0.0042,6.4,15.9,,2.5
7079,Thompson,tube,,1899.0,-0.0428,4.7,4.7,318.0,4.5
7080,Thompson,tube,10.34,5900.0,,10.3,10.3,762.0,4.3
7081,Thompson,tube,6.89,3784.0,-0.0975,10.8,10.8,216.0,4.8
7082,Thompson,tube,13.79,6523.0,-0.1439,4.7,,318.0,4.6
7083,Beus,annulus,,2730.0,-0.0298,5.6,15.2,2134.0,2.2
7084,Thompson,tube,6.86,3838.0,,10.8,10.8,432.0,3.4
7085,Beus,annulus,8.27,1345.0,0.1005,5.6,15.2,2134.0,1.2
7086,Thompson,tube,20.68,2685.0,,3.6,3.6,76.0,3.6
7087,Peskov,tube,14.0,,,,10.0,660.0,3.8
7088,Thompson,tube,6.89,4096.0,0.0196,10.8,10.8,432.0,3.0
7089,Thompson,,6.89,2753.0,,,23.6,1972.0,2.3
7090,Thompson,tube,13.79,5262.0,-0.0373,,,625.0,4.9
7091,Thompson,tube,6.89,2061.0,0.0334,,1.9,152.0,2.7
7092,Janssen,annulus,6.85,4986.0,-0.0078,12.7,38.1,914.0,3.2
7093,Thompson,tube,,2265.0,0.0601,7.8,7.8,591.0,1.0
7094,Thompson,tube,12.41,542.0,-0.0047,19.8,19.8,610.0,3.8
7095,Thompson,,18.96,1885.0,,1.9,1.9,152.0,3.2
7096,Thompson,,6.89,5289.0,-0.0264,10.3,10.3,794.0,6.8
7097,Janssen,annulus,9.69,,0.0145,6.4,15.9,914.0,3.6
7098,Janssen,annulus,6.92,,0.0243,8.5,24.6,1778.0,2.3
7099,Janssen,annulus,6.86,1533.0,0.0854,8.5,22.3,2743.0,1.2
7100,,tube,6.86,,0.0436,10.8,10.8,432.0,3.6
7101,Thompson,tube,13.79,2007.0,0.0808,7.7,7.7,457.0,2.4
7102,Thompson,tube,6.89,1899.0,,12.8,12.8,,4.3
7103,Weatherhead,tube,13.79,2034.0,,7.7,7.7,457.0,3.0
7104,,annulus,6.89,1533.0,0.1396,12.7,42.3,2743.0,2.3
7105,Janssen,annulus,,2794.0,,6.4,15.9,914.0,2.7
7106,Thompson,tube,13.79,2862.0,,4.7,4.7,318.0,1.6
7107,Thompson,tube,3.86,2034.0,0.0117,10.8,10.8,432.0,4.7
7108,Weatherhead,tube,13.79,,-0.0134,7.7,7.7,457.0,2.1
7109,Thompson,tube,10.34,5737.0,-0.0483,10.3,,762.0,3.7
7110,Thompson,tube,10.34,,,10.3,10.3,762.0,6.8
7111,Thompson,tube,6.86,2034.0,,10.8,,,4.5
7112,Peskov,tube,18.0,1000.0,0.0672,10.0,10.0,1650.0,2.6
7113,Thompson,tube,0.1,2680.0,0.166,1.0,1.0,,5.4
7114,Thompson,tube,6.89,3513.0,0.1891,3.0,3.0,35.0,2.0
7115,,annulus,6.92,3052.0,0.0893,8.5,24.6,1778.0,2.1
7116,,tube,13.79,2251.0,0.0415,1.9,1.9,696.0,4.1
7117,Janssen,annulus,6.89,2767.0,,6.4,15.9,914.0,2.4
7118,,tube,6.83,4123.0,0.0379,10.8,10.8,432.0,3.4
7119,Thompson,tube,13.79,1302.0,-0.1235,,5.7,625.0,9.0
7120,Richenderfer,,6.62,1000.0,-0.0373,15.0,120.0,10.0,3.2
7121,Thompson,tube,13.79,6144.0,,4.7,4.7,318.0,6.1
7122,Thompson,tube,11.03,4069.0,0.0598,11.5,11.5,1524.0,2.8
7123,Thompson,,,3133.0,,1.9,1.9,152.0,4.5
7124,Janssen,annulus,6.99,3052.0,-0.0249,8.5,24.6,,3.1
7125,Williams,tube,,4062.0,0.097,9.5,9.5,1836.0,2.6
7126,Thompson,tube,6.89,5520.0,0.0196,12.4,12.4,610.0,3.4
7127,Thompson,,13.79,1655.0,0.064,,7.7,457.0,2.3
7128,Thompson,,12.07,3920.0,-0.0266,1.9,1.9,696.0,3.9
7129,,tube,3.86,,0.0179,10.8,10.8,432.0,4.1
7130,Thompson,tube,6.89,,,10.3,,794.0,3.9
7131,Thompson,tube,6.86,4096.0,0.0282,10.8,10.8,432.0,2.5
7132,Weatherhead,,13.79,1600.0,,7.7,7.7,457.0,3.0
7133,,tube,6.89,1336.0,-0.0303,37.5,37.5,1953.0,3.6
7134,Thompson,tube,13.79,4299.0,-0.0071,4.7,4.7,318.0,3.9
7135,Thompson,tube,,5859.0,0.1103,10.1,10.1,457.0,1.9
7136,Thompson,tube,6.93,4069.0,0.1698,11.5,11.5,1727.0,2.4
7137,Thompson,annulus,6.89,1519.0,,12.7,42.3,1778.0,3.4
7138,,,13.79,,0.0783,4.6,4.6,295.0,3.9
7139,Janssen,,9.65,,0.0382,12.7,42.3,1778.0,3.4
7140,,tube,6.96,4069.0,,11.5,11.5,2007.0,2.2
7141,,,6.89,5357.0,0.1006,12.8,,1930.0,2.2
7142,Thompson,,3.86,3797.0,,,10.8,432.0,8.0
7143,Thompson,,18.27,1844.0,,3.0,3.0,150.0,2.0
7144,Thompson,tube,13.79,5249.0,-0.0518,,5.7,,5.2
7145,Thompson,tube,10.34,2658.0,-0.1179,10.3,10.3,762.0,1.6
7146,,tube,13.79,2102.0,0.0948,,7.8,591.0,2.7
7147,Thompson,tube,18.96,2740.0,-0.0874,1.9,,152.0,3.4
7148,Thompson,tube,13.79,2116.0,0.0733,7.8,7.8,591.0,1.5
7149,Thompson,,13.79,4096.0,0.0005,4.6,4.6,,2.6
7150,Thompson,,10.38,1302.0,0.1312,4.6,4.6,229.0,3.4
7151,Thompson,tube,0.1,2821.0,,1.0,1.0,35.0,5.4
7152,Thompson,tube,13.79,1351.0,0.1038,,7.7,457.0,1.8
7153,Thompson,tube,10.41,2387.0,,4.7,4.7,229.0,11.5
7154,,tube,12.07,1214.0,-0.1284,3.0,3.0,150.0,1.5
7155,Thompson,,13.79,1600.0,-0.0898,7.7,7.7,457.0,3.5
7156,Thompson,tube,11.03,,0.0788,10.8,10.8,864.0,2.8
7157,Thompson,tube,13.79,5181.0,-0.3476,3.6,3.6,76.0,6.4
7158,Thompson,tube,15.51,2875.0,-0.0821,1.9,1.9,152.0,1.5
7159,Beus,annulus,13.79,1349.0,,5.6,15.2,2134.0,1.2
7160,Thompson,tube,18.96,,,1.9,1.9,696.0,2.1
7161,Janssen,annulus,6.89,1546.0,0.1465,8.5,22.3,2743.0,2.2
7162,,tube,13.79,5249.0,-0.1184,5.7,5.7,625.0,2.9
7163,Thompson,,17.24,1939.0,-0.0574,,,696.0,2.9
7164,Weatherhead,tube,13.79,678.0,-0.1517,11.1,11.1,457.0,1.9
7165,Thompson,tube,13.79,4123.0,,4.7,4.7,305.0,1.2
7166,Thompson,tube,13.79,3119.0,-0.0238,1.9,1.9,152.0,4.7
7167,,annulus,11.03,3665.0,,5.6,,2134.0,3.8
7168,Thompson,tube,6.89,1316.0,0.0841,12.4,12.4,610.0,4.3
7169,Thompson,tube,3.86,3784.0,0.0424,10.8,10.8,432.0,14.7
7170,Weatherhead,tube,,1200.0,-0.1479,5.6,,457.0,3.5
7171,,tube,13.79,4136.0,,4.6,4.6,295.0,3.7
7172,,annulus,8.27,1364.0,0.1219,5.6,15.2,2134.0,1.5
7173,Williams,tube,15.17,4069.0,0.1651,9.5,9.5,1836.0,2.0
7174,Thompson,tube,6.79,1763.0,0.0903,10.8,10.8,432.0,3.5
7175,Thompson,tube,6.89,959.0,0.0487,23.6,23.6,610.0,2.7
7176,Thompson,,13.79,1641.0,,4.7,4.7,318.0,2.2
7177,Thompson,tube,3.45,,0.0854,10.3,10.3,762.0,11.3
7178,Janssen,annulus,6.89,830.0,0.0442,12.7,38.1,737.0,2.9
7179,Thompson,,18.96,3689.0,-0.0719,,1.9,152.0,5.7
7180,Thompson,tube,13.79,2767.0,0.0129,7.8,7.8,591.0,2.1
7181,,tube,,1351.0,0.0249,7.7,7.7,457.0,2.3
7182,,tube,13.79,2712.0,-0.0815,7.7,7.7,457.0,3.4
7183,Thompson,tube,13.79,4109.0,,4.7,4.7,305.0,3.8
7184,Janssen,annulus,6.87,1533.0,,8.5,22.3,2743.0,2.2
7185,Thompson,tube,6.89,3580.0,0.0702,23.6,23.6,1972.0,4.6
7186,Thompson,tube,6.89,1465.0,0.0051,12.4,12.4,610.0,4.7
7187,Thompson,tube,13.79,933.0,0.0374,7.8,7.8,591.0,2.9
7188,Thompson,tube,6.89,,,,10.3,762.0,5.0
7189,,tube,,4448.0,0.1431,,4.7,318.0,4.4
7190,Janssen,annulus,9.65,1519.0,-0.0022,,42.3,1778.0,4.6
7191,,tube,,957.0,0.0001,1.9,1.9,152.0,3.3
7192,Thompson,tube,6.89,6212.0,-0.0289,10.3,10.3,762.0,7.9
7193,Thompson,tube,18.96,2726.0,,1.9,1.9,152.0,4.4
7194,Weatherhead,tube,13.79,339.0,0.1597,11.1,11.1,457.0,1.4
7195,Thompson,tube,,7364.0,-0.3476,4.7,,318.0,3.8
7196,Thompson,tube,13.79,,0.1723,7.8,7.8,591.0,2.7
7197,Thompson,tube,3.86,4055.0,0.0801,,10.8,864.0,4.5
7198,Thompson,tube,7.03,1031.0,,10.8,10.8,,3.4
7199,Thompson,,13.79,1383.0,0.0876,4.6,4.6,457.0,2.8
7200,Thompson,,,3811.0,0.0049,10.8,10.8,432.0,4.2
7201,Beus,annulus,,2346.0,0.1356,8.5,22.3,1829.0,2.2
7202,Thompson,tube,,3635.0,-0.0668,5.6,5.6,,5.2
7203,Janssen,annulus,9.65,,0.0101,12.7,38.1,914.0,3.3
7204,Thompson,tube,18.96,1980.0,,1.9,1.9,696.0,4.5
7205,Thompson,tube,6.89,4055.0,0.0518,5.6,5.6,432.0,4.5
7206,,tube,18.96,2767.0,,1.9,,152.0,3.9
7207,,tube,18.96,3499.0,,1.9,1.9,,3.9
7208,,plate,0.51,2000.0,-0.0416,,120.0,10.0,5.8
7209,Thompson,tube,6.89,5249.0,-0.0296,5.7,5.7,432.0,4.9
7210,,annulus,8.27,1355.0,,5.6,15.2,,2.2
7211,Thompson,tube,13.79,7690.0,-0.1153,,4.7,,5.3
7212,Weatherhead,tube,,1682.0,0.1503,7.7,7.7,457.0,1.6
7213,Thompson,tube,13.79,705.0,,,4.7,318.0,2.5
7214,Peskov,tube,12.0,1617.0,-0.1284,10.0,10.0,565.0,1.5
7215,Thompson,tube,13.79,2143.0,,4.7,,305.0,1.8
7216,Janssen,,6.89,,0.1933,8.5,22.3,2743.0,2.9
7217,Thompson,tube,13.79,3852.0,-0.0138,1.9,,152.0,3.3
7218,Thompson,tube,10.34,4001.0,-0.0306,10.3,10.3,762.0,3.5
7219,Thompson,tube,13.79,,0.0226,7.7,7.7,457.0,2.7
7220,Janssen,annulus,6.89,1533.0,0.1959,8.5,22.3,2743.0,1.8
7221,Thompson,tube,,6198.0,0.0831,4.7,4.7,305.0,4.5
7222,Thompson,tube,6.89,2306.0,0.0376,23.6,23.6,1972.0,2.9
7223,Janssen,annulus,6.92,549.0,0.0254,12.7,38.1,737.0,4.4
7224,Thompson,tube,13.79,1356.0,,7.7,7.7,457.0,1.6
7225,Thompson,,13.79,6144.0,-0.1989,4.7,,318.0,9.0
7226,Thompson,tube,6.86,4042.0,,10.8,10.8,864.0,6.0
7227,Williams,tube,8.27,2699.0,,9.5,9.5,1836.0,2.9
7228,Mortimore,annulus,,2698.0,-0.0233,5.0,13.3,2134.0,2.3
7229,Janssen,annulus,6.92,3062.0,0.067,4.6,11.3,1778.0,2.0
7230,Peskov,tube,10.0,1944.0,-0.1184,10.0,10.0,400.0,4.6
7231,,tube,13.79,,-0.0573,7.7,7.7,457.0,3.7
7232,Thompson,tube,13.79,,0.0753,5.7,5.7,625.0,3.5
7233,,tube,12.0,3853.0,,10.0,10.0,565.0,3.2
7234,Peskov,tube,10.0,3056.0,-0.0297,10.0,10.0,,8.0
7235,Richenderfer,,0.2,,-0.0415,15.0,120.0,10.0,5.1
7236,,tube,13.79,,0.0145,7.7,7.7,457.0,2.6
7237,Thompson,tube,,1356.0,-0.1488,,7.7,457.0,4.0
7238,Janssen,annulus,6.89,2807.0,-0.0456,6.4,15.9,914.0,6.0
7239,,tube,18.27,833.0,-0.0434,,3.0,,4.0
7240,Beus,,15.51,1339.0,,5.6,,,2.2
7241,Williams,tube,8.27,346.0,0.1378,9.5,9.5,1836.0,2.2
7242,,tube,10.34,7731.0,,,10.3,762.0,7.2
7243,Thompson,tube,13.79,1078.0,,,4.7,318.0,4.3
7244,Thompson,tube,,6049.0,,10.3,10.3,762.0,6.0
7245,Thompson,tube,18.27,4042.0,,3.0,3.0,35.0,2.9
7246,Thompson,tube,6.83,3513.0,,10.8,10.8,,3.4
7247,Thompson,tube,6.89,5778.0,,,10.3,,5.9
